Justin Bieber|YouTube|https://www.youtube.com/playlist?playnext=1&list=PL7cJWYlMnhfzFuupFwQ4ng7XQkrRnFiXL&feature=gws_kp_artist|Spotify|https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s?autoplay=true|Gaana|https://gaana.com/artist/justin-bieber?autoplay=true|YouTube Music|https://music.youtube.com/channel/UCGvj8kfUV5Q6lzECIrGY19g?feature=gws_kp_artist&feature=gws_kp_artist|JioSaavn|https://www.jiosaavn.com/artist/Justin-Bieber-songs/deJJWFd1ItE_?autoplay=enabled|Hungama|https://www.hungama.com/artist/justin-bieber/42221/?autoplay=true|Wynk|https://wynk.in/music/artist/home/justin-bieber?autoplay=true|Instagram|https://www.instagram.com/justinbieber|Facebook|https://www.facebook.com/JustinBieber|Twitter|https://twitter.com/justinbieber|YouTube|https://www.youtube.com/user/kidrauhl|TikTok|https://www.tiktok.com/@justinbieber
Timothée Chalamet|Instagram|https://www.instagram.com/tchalamet|Twitter|https://twitter.com/RealChalamet
Mandy Teefey|Instagram|https://www.instagram.com/mandyteefey/|Twitter|https://twitter.com/itsmandyteefey_|Facebook|https://www.facebook.com/amanda.dawncornett.7
Selena Gomez|YouTube|https://www.youtube.com/playlist?playnext=1&list=PLGwu-ob7sdHMxhN2EErcp0_zEhTMBsjY4&feature=gws_kp_artist|Spotify|https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx?autoplay=true|Gaana|https://gaana.com/artist/selena-gomez?autoplay=true|YouTube Music|https://music.youtube.com/channel/UCeBYRgPhy8kcRmIGQWKuqdQ?feature=gws_kp_artist&feature=gws_kp_artist|JioSaavn|https://www.jiosaavn.com/artist/Selena-Gomez-songs/x45oK7RJ2E4_?autoplay=enabled|Hungama|https://www.hungama.com/artist/selena-gomez/42345/?autoplay=true|Wynk|https://wynk.in/music/artist/home/selena-gomez?autoplay=true|Instagram|https://www.instagram.com/selenagomez|Facebook|https://www.facebook.com/Selena|Twitter|https://twitter.com/selenagomez|YouTube|https://www.youtube.com/user/SelGomez|Myspace|http://myspace.com/selenagomez
Harry Styles|YouTube|https://www.youtube.com/playlist?playnext=1&list=PL1BwKXJqW9zXtoSuoI6LVjof1H9gb13Re&feature=gws_kp_artist|Spotify|https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3?autoplay=true|YouTube Music|https://music.youtube.com/channel/UCVacQ2t5GUZ2t_J3Ia9BynA?feature=gws_kp_artist&feature=gws_kp_artist|Gaana|https://gaana.com/artist/harry-styles?autoplay=true|JioSaavn|https://www.jiosaavn.com/artist/Harry-Styles-songs/vVtHXctbA,o_?autoplay=enabled|Hungama|https://www.hungama.com/artist/h-styles/274065368/?autoplay=true|Wynk|https://wynk.in/music/artist/home/harry-styles?autoplay=true|Instagram|https://www.instagram.com/harrystyles|Facebook|https://www.facebook.com/harrystyles|Twitter|https://twitter.com/Harry_Styles|YouTube|https://www.youtube.com/harrystyles
Demi Lovato|YouTube|https://www.youtube.com/playlist?playnext=1&list=PLuvyXsl3VC6Sw1kkFRvHCGRXFDjjF8dZl&feature=gws_kp_artist|Spotify|https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp?autoplay=true|JioSaavn|https://www.jiosaavn.com/artist/Demi-Lovato-songs/hyq,I5epfZY_?autoplay=enabled|YouTube Music|https://music.youtube.com/channel/UCwem2sj-QUJCiWiPAo9JuAw?feature=gws_kp_artist&feature=gws_kp_artist|Gaana|https://gaana.com/artist/demi-lovato?autoplay=true|Hungama|https://www.hungama.com/artist/demetria-lovato/263555316/?autoplay=true|Wynk|https://wynk.in/music/artist/home/demi-lovato?autoplay=true|Instagram|https://www.instagram.com/ddlovato|Twitter|https://twitter.com/ddlovato|Facebook|https://www.facebook.com/DemiLovato|YouTube|https://www.youtube.com/user/therealdemilovato|Tumblr|https://demilovato.tumblr.com/
Mandy Teefey|Instagram|https://www.instagram.com/mandyteefey/|Twitter|https://twitter.com/itsmandyteefey_|Facebook|https://www.facebook.com/amanda.dawncornett.7
Ricardo Joel Gomez|Instagram|https://www.instagram.com/wrikster/|Twitter|https://twitter.com/ricardojoelgom1|Facebook|https://www.facebook.com/ricardojoel.gomez.10
Rihanna|YouTube|https://www.youtube.com/playlist?playnext=1&list=PLmayP0qOPHaIf2ohiWsRunfVwmwELDZTZ&feature=gws_kp_artist|Spotify|https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H?autoplay=true|Gaana|https://gaana.com/artist/rihanna?autoplay=true|YouTube Music|https://music.youtube.com/channel/UCvWtix2TtWGe9kffqnwdaMw?feature=gws_kp_artist&feature=gws_kp_artist|JioSaavn|https://www.jiosaavn.com/artist/Rhianna-songs/AAPvYiCuVWg_?autoplay=enabled|Hungama|https://www.hungama.com/artist/robyn-fenty/40285/?autoplay=true|Wynk|https://wynk.in/music/artist/home/rihanna?autoplay=true|Instagram|https://www.instagram.com/badgalriri|Facebook|https://www.facebook.com/rihanna|Twitter|https://twitter.com/rihanna|YouTube|https://www.youtube.com/user/rihanna|SoundCloud|https://soundcloud.com/rihanna
Camila Cabello|YouTube|https://www.youtube.com/playlist?playnext=1&list=PL8Gifh-G6-cuMaq9wWFtI7D9SUphVyYls&feature=gws_kp_artist|Spotify|https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF?autoplay=true|YouTube Music|https://music.youtube.com/channel/UCsZIVNwBqtPBX-41kO_rQzQ?feature=gws_kp_artist&feature=gws_kp_artist|Gaana|https://gaana.com/artist/camila-cabello?autoplay=true|JioSaavn|https://www.jiosaavn.com/artist/Camila-Cabello-songs/T8rykyjbKe4_?autoplay=enabled|Hungama|https://www.hungama.com/artist/camilla-cabello/186494612/?autoplay=true|Wynk|https://wynk.in/music/artist/home/camila-cabello?autoplay=true|Instagram|https://www.instagram.com/camila_cabello|Facebook|https://www.facebook.com/camilacabello|YouTube|https://www.youtube.com/channel/UCio_FVgKVgqcHrRiXDpnqbw|Twitter|https://twitter.com/Camila_Cabello|SoundCloud|https://soundcloud.com/camilacabello
Lauren Jauregui|YouTube|https://www.youtube.com/playlist?playnext=1&list=PLMoxfxFVcVQynv3IN9e0bq2nUu7B2uQdj&feature=gws_kp_artist|Spotify|https://open.spotify.com/artist/3J0BpFVUc9LeOIVeN5uNhU?autoplay=true|YouTube Music|https://music.youtube.com/channel/UCdHIxyB4Jrl_Kmpe36vI5xg?feature=gws_kp_artist&feature=gws_kp_artist|Gaana|https://gaana.com/artist/lauren-jauregui?autoplay=true|JioSaavn|https://www.jiosaavn.com/artist/Lauren-Jauregui-songs/WneUJtW0fCw_?autoplay=enabled|Hungama|https://www.hungama.com/artist/lauren-jauregui/23053673/?autoplay=true|Instagram|https://www.instagram.com/laurenjauregui/|Twitter|https://twitter.com/laurenjauregui|YouTube|https://www.youtube.com/channel/UCztlt79t8cvrtLpnoIXz2Pg|Facebook|https://www.facebook.com/LaurenJaureguiOfficial/
Normani|YouTube|https://www.youtube.com/playlist?playnext=1&list=PL9c7UGH4Uj1koCLqKial98uGsRJfk-0M1&feature=gws_kp_artist|Spotify|https://open.spotify.com/artist/2cWZOOzeOm4WmBJRnD5R7I?autoplay=true|YouTube Music|https://music.youtube.com/channel/UCM086fg88OhGvyzezmfRmLA?feature=gws_kp_artist&feature=gws_kp_artist|Gaana|https://gaana.com/artist/normani?autoplay=true|JioSaavn|https://www.jiosaavn.com/artist/Normani-songs/5Qy1RE,sY2s_?autoplay=enabled|Hungama|https://www.hungama.com/artist/normani-hamilton/211733749/?autoplay=true|Instagram|https://www.instagram.com/normani|Twitter|https://twitter.com/Normani|Facebook|https://www.facebook.com/normanikordei|SoundCloud|https://soundcloud.com/normani-kordei|YouTube|https://www.youtube.com/channel/UCQNqatUel5nR-_0RWizIM5g
